"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
MA154,"Artemether/Lumefantrine Tablet, Dispersible 40mg/240mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"13  Apr,  2021"
MA155,"Artemether/Lumefantrine Tablet, Dispersible 60mg/360mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"13  Apr,  2021"
MA157,"Dihydroartemisinin/Piperaquine phosphate Tablet, Dispersible 30mg/240mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"25  Nov,  2020"
MA158,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 12.5mg/250mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"1  Jul,  2021"
MA159,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 25mg/500mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"1  Jul,  2021"
MA160,"Artemether/Lumefantrine Tablet 80mg/480mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"1  Feb,  2022"
MA163,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 25mg/500mg","Finished Pharmaceutical Product",Malaria,"Universal Corporation Ltd","Tablet, Dispersible","Prequalification - Full",,"22  Aug,  2022"
MA164,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"26  Jan,  2022"
MA165,"Artemether/Lumefantrine Tablet 80mg/480mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"26  Jan,  2022"
MA166,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 12.50mg/250mg","Finished Pharmaceutical Product",Malaria,"Universal Corporation Ltd","Tablet, Dispersible","Prequalification - Full",,"22  Aug,  2022"
MA167,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Laboratorios Basi - Industria Farmaceutica SA",Tablet,"Prequalification - Full",,"9  Feb,  2022"
MA168,"Artesunate Powder for solution for injection 60mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"27  Jun,  2023"
MA169,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 25mg/500mg + 150mg","Finished Pharmaceutical Product",Malaria,"Universal Corporation Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"30  Jul,  2023"
MA170,"Pyrimethamine/Sulfadoxine Tablet, Dispersible+Amodiaquine (hydrochloride) Tablet, Dispersible   12.50mg/250mg+76.5mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"4  Nov,  2022"
MA171,"Pyrimethamine/Sulfadoxine Tablet, Dispersible+Amodiaquine (hydrochloride) Tablet, Dispersible   25mg/500mg+153mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"4  Nov,  2022"
MA172,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 12.5mg/250mg + 75mg","Finished Pharmaceutical Product",Malaria,"Universal Corporation Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"30  Jul,  2023"
MA176,"Primaquine (phosphate) Tablet, Film-coated 15mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"22  Dec,  2023"
MA177,"Dihydroartemisinin/Piperaquine phosphate Tablet, Film-coated 40mg/320mg","Finished Pharmaceutical Product",Malaria,"Beijing Holley-Cotec Pharmaceuticals Co Ltd","Tablet, Film-coated","Prequalification - Full",,"10  Oct,  2023"
MA178,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 12.50mg/250mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"30  Jul,  2023"
MA179,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 25mg/500mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"30  Jul,  2023"
MA180,"Pyrimethamine/Sulfadoxine Tablet 25mg/500mg","Finished Pharmaceutical Product",Malaria,"Swiss Pharma Nigeria Ltd",Tablet,"Prequalification - Full",,"16  Aug,  2024"
MA186,"Artesunate Powder for solution for injection 120 mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Powder for solution for injection","Prequalification - Full",,"5  Sep,  2023"
MA189,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 12.5mg/250mg + 76.5mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"25  Apr,  2024"
MA190,"Pyrimethamine/Sulfadoxine Tablet, Dispersible + Amodiaquine (hydrochloride) Tablet, Dispersible 25mg/500mg + 153mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"25  Apr,  2024"
MA191,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 12.50mg/250mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Tablet, Dispersible","Prequalification - Full",,"25  Apr,  2024"
MA192,"Pyrimethamine/Sulfadoxine Tablet, Dispersible 25mg/500mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Tablet, Dispersible","Prequalification - Full",,"25  Apr,  2024"
MA193,"Pyrimethamine/Sulfadoxine Tablet 25mg/500mg","Finished Pharmaceutical Product",Malaria,"S Kant Healthcare Ltd.",Tablet,"Prequalification - Full",,"2  May,  2024"
MA194,"Artesunate Powder for solution for injection 120mg","Finished Pharmaceutical Product",Malaria,"Macleods Pharmaceuticals Ltd","Powder for solution for injection","Prequalification - Full",,"29  May,  2024"
MA195,"Artesunate Powder for solution for injection 180mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"12  Dec,  2024"
MA196,"Primaquine (phosphate) Tablet, Film-coated 15mg","Finished Pharmaceutical Product",Malaria,"Ipca Laboratories Ltd","Tablet, Film-coated","Prequalification - Full",,"17  Jul,  2025"
MA197,"Pyrimethamine/Sulfadoxine Tablet, Dispersible+Amodiaquine (hydrochloride) Tablet, Dispersible   12.5mg/250mg+76.5mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"17  Sep,  2025"
MA198,"Pyrimethamine/Sulfadoxine Tablet, Dispersible+Amodiaquine (hydrochloride) Tablet, Dispersible   25mg/500mg+153mg","Finished Pharmaceutical Product",Malaria,"Ajanta Pharma Ltd","Tablet, Dispersible + Tablet, Dispersible","Prequalification - Full",,"17  Sep,  2025"
MA200,"Artesunate Powder for solution for injection 120mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"12  Dec,  2024"
MA201,"Artesunate Powder for solution for injection 30mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"19  Aug,  2025"
MA202,"Primaquine (phosphate) Tablet, Dispersible 5mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"6  Nov,  2025"
MA203,"Tafenoquine Tablet, Film-coated 150mg","Finished Pharmaceutical Product",Malaria,"GlaxoSmithKline Australia Pty Ltd","Tablet, Film-coated","Prequalification - Abridged",,"28  Oct,  2024"
MA204,"Tafenoquine Tablet, Dispersible 50mg","Finished Pharmaceutical Product",Malaria,"GlaxoSmithKline Australia Pty Ltd","Tablet, Dispersible","Prequalification - Abridged",,"2  Dec,  2024"
MA205,"Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product",Malaria,"Velvet Med-Healthcare Solutions S.A",Tablet,"Prequalification - Full",,"5  Jul,  2025"
MA209,"Primaquine (phosphate) Tablet, Dispersible 2.5mg","Finished Pharmaceutical Product",Malaria,"Guilin Pharmaceutical Co Ltd","Tablet, Dispersible","Prequalification - Full",,"6  Nov,  2025"
MA210,"Artemether/Lumefantrine Tablet 80mg/480mg","Finished Pharmaceutical Product",Malaria,"Velvet Med-Healthcare Solutions S.A",Tablet,"Prequalification - Full",,"9  Sep,  2025"
MA217,"Artemether/Lumefantrine Tablet, Dispersible 2.5mg/30mg","Finished Pharmaceutical Product",Malaria,"Novartis AG","Tablet, Dispersible","Prequalification - Abridged",,"23  Apr,  2026"
MR001,"Cefiderocol Powder for concentrate for solution for infusion 1g/vial","Finished Pharmaceutical Product","Multi-drug resistant bacterial infections","Shionogi B.V.","Powder for concentrate for solution for infusion","Prequalification - Abridged",,"22  Feb,  2024"
"NDA 202814 USFDA","Lamivudine/Zidovudine Tablet, Dispersible 30mg/60mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Dispersible","Alternative Listing","USFDA - PEPFAR",
"NDA 203076 USFDA","Lamivudine/Nevirapine/Zidovudine Tablet, Dispersible 30mg/50mg/60mg","Finished Pharmaceutical Product",HIV/AIDS,"Cipla Ltd","Tablet, Dispersible","Alternative Listing","USFDA - PEPFAR",
"NDA 207369 USFDA","Abacavir (sulfate)/Lamivudine Tablet 60mg/30mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd",Tablet,"Alternative Listing","USFDA - PEPFAR",
"NDA 209618 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 210237 USFDA","Dolutegravir (sodium)/Emtricitabine/Tenofovir alafenamide Tablet, Film-coated 50mg/200mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated",,"USFDA - PEPFAR",
"NDA 210649 USFDA","Efavirenz/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 400mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 210787 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Laurus Labs Limited","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 210796 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 210865 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir alafenamide Tablet 50mg/300mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,,"USFDA - PEPFAR",
"NDA 210880 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Hetero Labs Ltd","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 211868 USFDA","Dolutegravir (Sodium), Lamivudine and Tenofovir Disoproxil Fumarate Tablet, 50 mg/300 mg/300 mg","Finished Pharmaceutical Product",HIV/AIDS,"Emcure Pharmaceuticals Limited",Tablet,,"USFDA - PEPFAR",
"NDA 211912 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50mg/300mg/300mg","Finished Pharmaceutical Product",HIV/AIDS,"Celltrion Inc.","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 214521 USFDA","Dolutegravir (sodium) Tablet, Dispersible 10mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Dispersible","Alternative Listing","USFDA - PEPFAR",
"NDA 214566 USFDA","Dolutegravir (sodium) Tablet, Dispersible 10mg","Finished Pharmaceutical Product",HIV/AIDS,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Alternative Listing","USFDA - PEPFAR",
"NDA 215448 USFDA","Dolutegravir (sodium)/Emtricitabine/Tenofovir alafenamide Tablet, Film-coated 50mg/200mg/25mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Tablet, Film-coated",,"USFDA - PEPFAR",
"NDA 217070 USFDA","Abacavir (sulfate)/Dolutegravir (sodium)/Lamivudine Tablet, Dispersible 60mg/5mg/30mg","Finished Pharmaceutical Product",HIV/AIDS,"Aurobindo Pharma Ltd","Tablet, Dispersible","Alternative Listing","USFDA - PEPFAR",
"NDA 218193 USFDA","Abacavir (sulfate)/Dolutegravir (sodium)/Lamivudine Tablet, Film-coated 60mg/5mg/30mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated",,"USFDA - PEPFAR",
"NDA 21837 USFDA","Lamivudine/Nevirapine/Stavudine Tablet 150g/200mg/40mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Global PTE Limited",Tablet,"Alternative Listing","USFDA - PEPFAR",
"NDA 21854 USFDA","Lamivudine/Stavudine Tablet+Nevirapine Tablet   150mg/40mg+200mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet + Tablet","Alternative Listing","USFDA - PEPFAR",
"NDA 219804 USFDA","Dolutegravir (sodium)/Lamivudine/Tenofovir disoproxil fumarate Tablet, Film-coated 50 mg/300 mg/300 mg","Finished Pharmaceutical Product",HIV/AIDS,"Aspen SA Operations (Pty) Ltd","Tablet, Film-coated",,"USFDA - PEPFAR",
"NDA 22096 USFDA","Lamivudine/Zidovudine Tablet+Efavirenz Tablet   150mg/300mg+600mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet + Tablet","Alternative Listing","USFDA - PEPFAR",
"NDA 22097 USFDA","Lamivudine/Stavudine Tablet+Efavirenz Tablet   150mg/40mg+600mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited","Tablet + Tablet","Alternative Listing","USFDA - PEPFAR",
"NDA 22177 USFDA","Lamivudine/Nevirapine/Stavudine Tablet 150mg/200mg/30mg","Finished Pharmaceutical Product",HIV/AIDS,"Strides Pharma Science Limited",Tablet,"Alternative Listing","USFDA - PEPFAR",
"NDA 22461a USFDA","Efavirenz Tablet 50mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
"NDA 22461b USFDA","Efavirenz Tablet, Film-coated 100mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.","Tablet, Film-coated","Alternative Listing","USFDA - PEPFAR",
"NDA 22461c USFDA","Efavirenz Tablet 200mg","Finished Pharmaceutical Product",HIV/AIDS,"Mylan Laboratories Ltd.",Tablet,"Alternative Listing","USFDA - PEPFAR",
NT002,"Diethylcarbamazine (citrate) Tablet 100mg","Finished Pharmaceutical Product","Neglected tropical diseases","Eisai Co Ltd",Tablet,"Prequalification - Full",,"20  Aug,  2013"
NT004,"Praziquantel Tablet, Film-coated 600mg","Finished Pharmaceutical Product","Neglected tropical diseases","Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"5  Sep,  2017"
NT005,"Albendazole Tablet 400mg","Finished Pharmaceutical Product","Neglected tropical diseases","Cipla Ltd",Tablet,"Prequalification - Full",,"31  Mar,  2021"
NT006,"Mebendazole Tablets, Chewable 500mg","Finished Pharmaceutical Product","Neglected tropical diseases","Janssen-Cilag International NV","Tablets, Chewable","Prequalification - Full",,"5  Apr,  2019"
NT007,"Ivermectin Tablet 3mg","Finished Pharmaceutical Product","Neglected tropical diseases","Laboratorios Liconsa SA",Tablet,"Prequalification - Full",,"1  Jul,  2021"
NT009,"Ivermectin Tablet 3mg","Finished Pharmaceutical Product","Neglected tropical diseases","Edenbridge Pharmaceuticals LLC",Tablet,"Prequalification - Abridged",,"16  Sep,  2020"
NT011,"Praziquantel Tablet, Film-coated 600mg","Finished Pharmaceutical Product","Neglected tropical diseases","Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"23  Aug,  2022"
NT012,"Albendazole Tablets, Chewable 400mg","Finished Pharmaceutical Product","Neglected tropical diseases","Medopharm Private Limited","Tablets, Chewable","Prequalification - Full",,"25  Dec,  2024"
NT013,"Praziquantel Tablet, Film-coated 600mg","Finished Pharmaceutical Product","Neglected tropical diseases","Merck Healthcare KGaA","Tablet, Film-coated","Prequalification - Full",,"22  Feb,  2024"
NT014,"Albendazole Tablets, Chewable 400mg","Finished Pharmaceutical Product","Neglected tropical diseases","Mepro Pharmaceuticals Pvt. Ltd.","Tablets, Chewable","Prequalification - Full",,"16  Aug,  2024"
NT015,"Miltefosine Capsules, hard 50 mg","Finished Pharmaceutical Product","Neglected tropical diseases","Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"19  Aug,  2025"
NT016,"Albendazole Tablets, Chewable 400mg","Finished Pharmaceutical Product","Neglected tropical diseases","Indoco Remedies Limited","Tablets, Chewable","Prequalification - Full",,"30  Aug,  2024"
NT017,"Miltefosine Capsules, hard 50mg","Finished Pharmaceutical Product","Neglected tropical diseases","Zydus Lifesciences Limited","Capsules, hard","Prequalification - Full",,"22  Feb,  2024"
NT019,"Azithromycin Tablet, Film-coated 500mg","Finished Pharmaceutical Product","Neglected tropical diseases","ACI HealthCare Limited","Tablet, Film-coated","Prequalification - Abridged",,"10  Apr,  2024"
NT020,"Azithromycin Tablet, Film-coated 500mg","Finished Pharmaceutical Product","Neglected tropical diseases","Rusan Pharma Ltd.","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2025"
NT021,"Albendazole Tablet 400mg","Finished Pharmaceutical Product","Neglected tropical diseases","Ipca Laboratories Ltd",Tablet,"Prequalification - Full",,"19  Dec,  2025"
"P-13399 - test",,,,,,,,
RH002,"Levonorgestrel Tablet, coated 30mcg","Finished Pharmaceutical Product","Reproductive health","Jenapharm GmbH & Co. KG","Tablet, coated","Prequalification - Abridged",,"26  May,  2009"
RH013,"Ethinylestradiol/Levonorgestrel Tablet, coated 30mcg/150mcg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited","Tablet, coated","Prequalification - Full",,"29  Sep,  2011"
RH017,"Levonorgestrel Implant 75mg","Finished Pharmaceutical Product","Reproductive health","Bayer Oy",Implant,"Prequalification - Abridged",,"23  Sep,  2009"
RH018,"Medroxyprogesterone acetate Powder for suspension for injection 150mg/mL","Finished Pharmaceutical Product","Reproductive health","Pfizer AB","Powder for suspension for injection","Prequalification - Abridged",,"20  Aug,  2010"
RH022,"Norethisterone enantate Solution for injection 200mg/ml","Finished Pharmaceutical Product","Reproductive health","Bayer plc","Solution for injection","Prequalification - Abridged",,"5  Oct,  2011"
RH025,"Desogestrel/Ethinylestradiol Tablet + Placebo Tablet, coated 0.150mg/0.030mg + 0mg","Finished Pharmaceutical Product","Reproductive health","NV Organon","Tablet + Tablet, coated","Prequalification - Abridged",,"29  Sep,  2010"
RH028,"Levonorgestrel Implant 75mg per rod (150mg in total)","Finished Pharmaceutical Product","Reproductive health","Shanghai Dahua Pharmaceutical Co Ltd",Implant,"Prequalification - Full",,"30  Jun,  2017"
RH031,"Levonorgestrel Tablet 1.5mg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited",Tablet,"Prequalification - Full",,"21  Oct,  2013"
RH032,"Levonorgestrel Tablet 750mcg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited",Tablet,"Prequalification - Full",,"14  Jun,  2013"
RH035,"Ethinylestradiol/Levonorgestrel Tablet, Sugar coated+Placebo Tablet, Film-coated   30µg/150µg+0mg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited","Tablet, Film-coated + Tablet, Sugar coated","Prequalification - Full",,"21  Oct,  2013"
RH036,"Etonogestrel Implant 68mg","Finished Pharmaceutical Product","Reproductive health","NV Organon",Implant,"Prequalification - Abridged",,"23  May,  2013"
RH037,"Desogestrel/Ethinylestradiol Tablet 0.150mg/0.030mg","Finished Pharmaceutical Product","Reproductive health","Mylan Laboratories Ltd.",Tablet,"Prequalification - Abridged",,"14  Aug,  2013"
RH038,"Ethinylestradiol/Levonorgestrel Tablet, Sugar coated + Ferrous (Fumarate) Tablet, Sugar coated 30mcg/150mcg + 75mg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited","Tablet, Sugar coated + Tablet, Sugar coated","Prequalification - Full",,"11  Mar,  2014"
RH039,"Misoprostol Tablet 200mcg","Finished Pharmaceutical Product","Reproductive health","Cipla Ltd",Tablet,"Prequalification - Full",,"8  Apr,  2014"
RH041,"Ethinylestradiol/Levonorgestrel Tablet + Placebo Tablet 0.03mg/0.15mg + 0mg","Finished Pharmaceutical Product","Reproductive health","Lupin Ltd","Tablet + Tablet","Prequalification - Abridged",,"26  Aug,  2013"
RH042,"Ethinylestradiol/Levonorgestrel Tablet, Film-coated+Placebo Tablet   0.03mg/0.15mg+0mg","Finished Pharmaceutical Product","Reproductive health","Lupin Ltd","Tablet + Tablet, Film-coated","Prequalification - Abridged",,"26  Aug,  2013"
RH044,"Desogestrel/Ethinylestradiol Tablet, Film-coated+Placebo Tablet, Film-coated   150mcg/30mcg+0mg","Finished Pharmaceutical Product","Reproductive health","Lupin Ltd","Tablet, Film-coated + Tablet, Film-coated","Prequalification - Abridged",,"21  Oct,  2013"
RH046,"Levonorgestrel Tablet 1.5mg","Finished Pharmaceutical Product","Reproductive health","Cipla Ltd",Tablet,"Prequalification - Full",,"9  Jul,  2015"
RH048,"Misoprostol Tablet 200mcg","Finished Pharmaceutical Product","Reproductive health","China Resources Zizhu Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"22  Nov,  2016"
RH049,"Desogestrel/Ethinylestradiol Tablet + Placebo Tablet 150mcg/30mcg + 0mcg","Finished Pharmaceutical Product","Reproductive health","Mylan Laboratories Ltd.","Tablet + Tablet","Prequalification - Abridged",,"8  Apr,  2014"
RH050,"Oxytocin Solution for injection 10IU/mL","Finished Pharmaceutical Product","Reproductive health","PT Sanbe Farma","Solution for injection","Prequalification - Full",,"30  Jun,  2017"
RH051,"Mifepristone Tablet 200mg","Finished Pharmaceutical Product","Reproductive health","Linepharma International Ltd",Tablet,"Prequalification - Abridged",,"6  Oct,  2014"
RH052,"Mifepristone Tablet 200mg","Finished Pharmaceutical Product","Reproductive health","China Resources Zizhu Pharmaceutical Co Ltd",Tablet,"Prequalification - Full",,"15  Aug,  2016"
RH054,"Estradiol valerate/Norethisterone enantate Solution for injection 5mg/50mg/mL","Finished Pharmaceutical Product","Reproductive health","Bayer AG","Solution for injection","Prequalification - Full",,"30  Jul,  2020"
RH056,"Misoprostol Tablet 200mcg","Finished Pharmaceutical Product","Reproductive health","Acme Formulation Pvt. Limited",Tablet,"Prequalification - Full",,"27  Apr,  2016"
RH057,"Levonorgestrel Tablet, Film-coated 0.03mg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"15  Aug,  2016"
RH058,"Levonorgestrel Tablet 1.5mg","Finished Pharmaceutical Product","Reproductive health","Lupin Ltd",Tablet,"Prequalification - Abridged",,"16  Dec,  2015"
RH062,"Magnesium sulphate Solution for injection 500mg/mL","Finished Pharmaceutical Product","Reproductive health","Inresa Arzneimittel GmbH","Solution for injection","Prequalification - Abridged",,"15  Aug,  2016"
RH063,"Magnesium sulphate Solution for injection 500mg/ml (2ml)","Finished Pharmaceutical Product","Reproductive health","AS KALCEKS","Solution for injection","Prequalification - Full",,"4  Jul,  2017"
RH064,"Magnesium sulphate Solution for injection 500mg/ml (10ml)","Finished Pharmaceutical Product","Reproductive health","AS KALCEKS","Solution for injection","Prequalification - Full",,"4  Jul,  2017"
RH065,"Levonorgestrel Tablet 1.5mg","Finished Pharmaceutical Product","Reproductive health","HLL Lifecare Limited",Tablet,"Prequalification - Full",,"23  Apr,  2018"
RH066,"Desogestrel/Ethinylestradiol Tablet, Film-coated + Placebo Tablet, Film-coated 0.15mg/0.03mg + 0mg","Finished Pharmaceutical Product","Reproductive health","Laboratorios León Farma SA","Tablet, Film-coated + Tablet, Film-coated","Prequalification - Full",,"27  Oct,  2020"
RH067,"Desogestrel/Ethinylestradiol Tablet, Film-coated 0.15mg/0.03mg","Finished Pharmaceutical Product","Reproductive health","Laboratorios León Farma SA","Tablet, Film-coated","Prequalification - Full",,"27  Oct,  2020"
RH068,"Levonorgestrel Tablet 0.75mg","Finished Pharmaceutical Product","Reproductive health","Laboratorios León Farma SA",Tablet,"Prequalification - Full",,"5  Feb,  2021"
RH069,"Levonorgestrel Tablet 1.5mg","Finished Pharmaceutical Product","Reproductive health","Laboratorios León Farma SA",Tablet,"Prequalification - Full",,"5  Feb,  2021"
RH070,"Ethinylestradiol/Levonorgestrel Tablet, Film-coated 0.03mg/0.15mg","Finished Pharmaceutical Product","Reproductive health","Laboratorios León Farma SA","Tablet, Film-coated","Prequalification - Full",,"21  Apr,  2020"
RH071,"Ethinylestradiol/Levonorgestrel Tablet, Film-coated + Placebo Tablet, Film-coated 0.03mg/0.15mg + 0mg","Finished Pharmaceutical Product","Reproductive health","Laboratorios León Farma SA","Tablet, Film-coated + Tablet, Film-coated","Prequalification - Full",,"21  Apr,  2020"
RH072,"Magnesium sulphate Solution for injection 500mg/ml (10ml)","Finished Pharmaceutical Product","Reproductive health","Labesfal, Laboratorios Almiro SA","Solution for injection","Prequalification - Abridged",,"19  Jun,  2018"
RH073,"Magnesium sulphate Solution for injection 500mg/mL","Finished Pharmaceutical Product","Reproductive health","Aurum Pharmaceuticals Ltd","Solution for injection","Prequalification - Abridged",,"12  Dec,  2017"
RH074,"Medroxyprogesterone acetate Suspension for injection 150mg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited","Suspension for injection","Prequalification - Full",,"31  Oct,  2018"
RH075,"Medroxyprogesterone acetate Suspension for injection 104mg/0.65ml","Finished Pharmaceutical Product","Reproductive health","Pfizer Limited","Suspension for injection","Prequalification - Abridged",,"28  Nov,  2017"
RH077,"Magnesium sulphate Solution for injection 500mg/mL","Finished Pharmaceutical Product","Reproductive health","Aurum Pharmaceuticals Ltd","Solution for injection","Prequalification - Abridged",,"12  Dec,  2017"
RH079,"Oxytocin Solution for injection 10IU/ml","Finished Pharmaceutical Product","Reproductive health","JSC Grindeks","Solution for injection","Prequalification - Full",,"14  Oct,  2019"
